"","id","Area.of.residence","Area.of.workplace","All","light_rail","Bus","Taxi","Motorbike","Car_driver","Car_passenger","Bicycle","Foot","Other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_siw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_siw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_siw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_siw","ebike_sld","ebike_sid","base_sldeath_webtag","base_slvalue_webtag","govtarget_sldeath_webtag","govtarget_slvalue_webtag","govtarget_sideath_webtag","govtarget_sivalue_webtag","gendereq_sldeath_webtag","gendereq_slvalue_webtag","gendereq_sideath_webtag","gendereq_sivalue_webtag","dutch_sldeath_webtag","dutch_slvalue_webtag","dutch_sideath_webtag","dutch_sivalue_webtag","ebike_sldeath_webtag","ebike_slvalue_webtag","ebike_sideath_webtag","ebike_sivalue_webtag","base_sldeath_heat","base_slvalue_heat","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","base_slco2","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","Rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","co2_saving","busyness","avslope_q","clc"
"87049","E02003237 E02003238","E02003237","E02003238",110,0,3,0,0,61,6,14,25,0,24.06,10.06,22.46,-2.54,54.55,-6.45,26.63,12.63,22.51,-2.49,52.38,-8.62,53.55,39.55,14.27,-10.73,36.19,-24.81,57.29,43.29,13.32,-11.68,33.79,-27.21,-0.00345,6391,-0.00547,10152,-0.00203,3761,-0.00623,11558,-0.00279,5167,-0.0107,19853,-0.00726,13462,-0.00625,11598,-0.00281,5207,-0.00231,4278,-0.00369,6850,-0.00139,2572,-0.00417,7733,-0.00186,3455,-0.00734,13611,-0.00503,9333,-0.00451,8364,-0.0022,4086,-1673,-2805,-1132,-3187,-1514,-6033,-4360,-6454,-4781,1,2.13028,"Peterborough 001","Peterborough 002",3.455,3.453,1410,1622,1.62186,0.99942,0.26049,644,5781,0.00261,12.72727
"87050","E02003237 E02003239","E02003237","E02003239",54,0,1,0,0,47,4,2,0,0,5.67,3.67,0,0,43.69,-3.31,4.67,2.67,0,0,44.6,-2.4,19.77,17.77,0,0,30.93,-16.07,24.02,22.02,0,0,27.09,-19.91,-0.0014,2589,-0.00394,7315,-0.00255,4726,-0.00305,5649,-0.00165,3060,-0.01371,25436,-0.01232,22847,-0.01114,20658,-0.00974,18069,-9e-04,1664,-0.00254,4702,-0.00164,3038,-0.00196,3631,-0.00106,1967,-0.00881,16351,-0.00792,14687,-0.00716,13280,-0.00626,11616,-532,-1508,-976,-1241,-709,-5266,-4734,-6398,-5866,0,4.04147,"Peterborough 001","Peterborough 003",5.722,5.548,2300,3222,1.41582,0.96959,0.52429,1067,26467,0.00469,3.7037
"87051","E02003237 E02003240","E02003237","E02003240",52,0,1,0,0,45,3,2,0,1,2.89,0.89,0,0,44.2,-0.8,2,0,0,0,45,0,3.82,1.82,0,0,43.32,-1.68,7.17,5.17,0,0,40.29,-4.71,-0.00439,8142,-0.00615,11413,-0.00176,3271,-0.00439,8142,0,0,-0.00762,14136,-0.00323,5994,-0.01068,19808,-0.00629,11666,-0.00226,4198,-0.00326,6055,-0.001,1857,-0.00226,4198,0,0,-0.00434,8051,-0.00208,3853,-0.00631,11697,-0.00404,7499,-1637,-2309,-672,-1637,0,-2935,-1298,-5447,-3810,0,9.99033,"Peterborough 001","Peterborough 004",15.226,20.82,6916,9732,1.52407,1.3674,0.76185,2838,47284,0.00999,3.84615
"87052","E02003237 E02003241","E02003237","E02003241",52,0,2,0,1,38,5,1,5,0,2.96,1.96,4.81,-0.19,36.54,-1.46,1,0,5,0,38,0,9.19,8.19,4.16,-0.84,31.89,-6.11,14.44,13.44,3.65,-1.35,27.98,-10.02,-0.00116,2156,-0.0032,5931,-0.00204,3775,-0.00116,2156,0,0,-0.00914,16959,-0.00798,14803,-0.00851,15792,-0.00735,13636,-0.00079,1464,-0.00228,4221,-0.00149,2757,-0.00079,1464,0,0,-0.00675,12517,-0.00596,11053,-0.00685,12700,-0.00606,11236,-394,-1192,-798,-394,0,-3752,-3358,-5898,-5504,0,8.26896,"Peterborough 001","Peterborough 005",10.673,12.064,4368,4842,1.29073,1.13033,0.4591,1990,62259,0.00157,1.92308
"87053","E02003237 E02003242","E02003237","E02003242",206,0,5,1,2,137,17,24,16,4,40.47,16.47,14.56,-1.44,124.6,-12.4,38.71,14.71,14.67,-1.33,125.93,-11.07,88.38,64.38,10.32,-5.68,88.54,-48.46,100.4,76.4,9.26,-6.74,79.5,-57.5,-0.011,20405,-0.01852,34358,-0.00752,13953,-0.01691,31372,-0.00591,10967,-0.04075,75608,-0.02975,55203,-0.03402,63125,-0.02303,42720,-0.00716,13284,-0.01206,22370,-0.0049,9086,-0.01101,20430,-0.00385,7146,-0.02655,49254,-0.01939,35970,-0.02227,41317,-0.01511,28033,-4257,-7177,-2920,-6863,-2606,-15672,-11415,-17802,-13545,0,3.857,"Peterborough 001","Peterborough 006",4.631,4.492,1910,2146,1.20067,0.96998,0.43187,863,36416,0.00445,11.65049
"87054","E02003237 E02003243","E02003237","E02003243",56,0,4,0,0,39,7,6,0,0,9.6,3.6,0,0,36.17,-2.83,6.45,0.45,0,0,38.64,-0.36,18.83,12.83,0,0,29.09,-9.91,23.48,17.48,0,0,25.46,-13.54,-0.00487,9041,-0.0078,14472,-0.00293,5431,-0.0052,9645,-0.00033,604,-0.01529,28364,-0.01042,19323,-0.01393,25836,-0.00905,16795,-0.00313,5812,-0.00502,9303,-0.00188,3491,-0.00334,6200,-0.00021,388,-0.00983,18234,-0.0067,12422,-0.00895,16608,-0.00582,10796,-1675,-2648,-973,-1799,-124,-5091,-3416,-6342,-4667,0,5.39442,"Peterborough 001","Peterborough 007",6.738,7.201,2680,3054,1.24907,1.06871,0.40071,1256,28291,0.00264,10.71429
"87055","E02003237 E02003245","E02003237","E02003245",67,0,3,0,0,52,1,6,4,0,10.12,4.12,3.73,-0.27,48.49,-3.51,13,7,3.55,-0.45,45.96,-6.04,21.69,15.69,2.97,-1.03,38.65,-13.35,27.52,21.52,2.59,-1.41,33.68,-18.32,-0.00431,7997,-0.00727,13479,-0.00296,5482,-0.00878,16285,-0.00447,8288,-0.01545,28664,-0.01114,20667,-0.01316,24416,-0.00885,16419,-0.0029,5377,-0.00489,9064,-0.00199,3687,-0.0059,10947,-0.003,5570,-0.01041,19317,-0.00751,13940,-0.00907,16828,-0.00617,11451,-1802,-3033,-1231,-3921,-2119,-6489,-4687,-8236,-6434,1,5.48682,"Peterborough 001","Peterborough 009",6.909,6.846,3024,3240,1.2592,0.99088,0.50659,1288,40779,0.00511,8.95522
"87056","E02003237 E02003246","E02003237","E02003246",67,0,3,1,1,51,8,2,1,0,6.34,4.34,0.93,-0.07,47.6,-3.4,3.53,1.53,1,0,49.68,-1.32,22.53,20.53,0.65,-0.35,35.09,-15.91,28.02,26.02,0.57,-0.43,30.75,-20.25,-0.00168,3116,-0.00516,9571,-0.00348,6455,-0.00282,5234,-0.00114,2118,-0.01798,33366,-0.0163,30250,-0.01463,27147,-0.01295,24031,-0.00108,2003,-0.00333,6185,-0.00225,4182,-0.00181,3364,-0.00073,1361,-0.01166,21630,-0.01058,19627,-0.00953,17672,-0.00845,15669,-614,-1811,-1197,-1084,-470,-6215,-5601,-7745,-7131,0,5.86699,"Peterborough 001","Peterborough 010",6.998,6.609,2870,3090,1.19277,0.94441,0.37153,1305,39773,0.00393,2.98507
"87057","E02003237 E02003247","E02003237","E02003247",45,0,3,0,0,38,3,0,1,0,2.67,2.67,0.94,-0.06,35.75,-2.25,0,0,1,0,38,0,13.9,13.9,0.69,-0.31,26.27,-11.73,17.9,17.9,0.6,-0.4,22.89,-15.11,0,0,-0.00224,4160,-0.00224,4160,0,0,0,0,-0.01161,21541,-0.01161,21541,-0.00927,17207,-0.00927,17207,0,0,-0.00147,2718,-0.00147,2718,0,0,0,0,-0.00759,14083,-0.00759,14083,-0.00613,11363,-0.00613,11363,0,-840,-840,0,0,-4375,-4375,-5636,-5636,0,5.60368,"Peterborough 001","Peterborough 011",7.344,7.281,3220,3436,1.31057,0.99142,0.46296,1369,41088,0.00467,0
"87058","E02003237 E02003248","E02003237","E02003248",62,0,8,0,0,48,2,4,0,0,7.4,3.4,0,0,45.19,-2.81,8.65,4.65,0,0,44.22,-3.78,17.03,13.03,0,0,37.19,-10.81,22.7,18.7,0,0,32.5,-15.5,-0.00402,7452,-0.00745,13829,-0.00344,6377,-0.00814,15108,-0.00413,7656,-0.01719,31886,-0.01317,24434,-0.01607,29811,-0.01205,22359,-0.00258,4791,-0.00479,8890,-0.00221,4099,-0.00524,9712,-0.00265,4921,-0.01105,20498,-0.00847,15707,-0.01033,19165,-0.00775,14374,-1391,-2595,-1204,-2995,-1604,-6037,-4646,-8047,-6656,0,6.64609,"Peterborough 001","Peterborough 012",8.468,7.931,3356,3574,1.27413,0.93658,0.30704,1579,24110,0.00353,6.45161
